# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-08-10 10:26:03 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01474500 Schuylkill River at Philadelphia, PA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01474500
#            TS   parameter     statistic     Description
#        118500       00060     00003     Discharge, cubic feet per second (Mean)
#        118501       00095     00001     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Maximum)
#        118502       00095     00002     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Minimum)
#        118503       00095     00003     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Mean)
#        118504       00300     00001     Dissolved oxygen, water, unfiltered, milligrams per liter (Maximum)
#        118505       00300     00002     Dissolved oxygen, water, unfiltered, milligrams per liter (Minimum)
#        118506       00300     00003     Dissolved oxygen, water, unfiltered, milligrams per liter (Mean)
#        118507       00010     00001     Temperature, water, degrees Celsius (Maximum), [(2)]
#        118508       00010     00002     Temperature, water, degrees Celsius (Minimum), [(2)]
#        118509       00010     00003     Temperature, water, degrees Celsius (Mean), [(2)]
#        118510       00400     00001     pH, water, unfiltered, field, standard units (Maximum)
#        118511       00400     00002     pH, water, unfiltered, field, standard units (Minimum)
#        118513       80154     00003     Suspended sediment concentration, milligrams per liter (Mean)
#        118514       80155     00003     Suspended sediment discharge, short tons per day (Mean)
#        118515       00011     00001     Temperature, water, degrees Fahrenheit (Maximum)
#        118516       00011     00002     Temperature, water, degrees Fahrenheit (Minimum)
#        118517       00011     00003     Temperature, water, degrees Fahrenheit (Mean)
#        251571       00010     00003     Temperature, water, degrees Celsius (Mean)
#        251572       00010     00001     Temperature, water, degrees Celsius (Maximum)
#        251573       00010     00002     Temperature, water, degrees Celsius (Minimum)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	118500_00060_00003	118500_00060_00003_cd	118501_00095_00001	118501_00095_00001_cd	118502_00095_00002	118502_00095_00002_cd	118503_00095_00003	118503_00095_00003_cd	118504_00300_00001	118504_00300_00001_cd	118505_00300_00002	118505_00300_00002_cd	118506_00300_00003	118506_00300_00003_cd	118507_00010_00001	118507_00010_00001_cd	118508_00010_00002	118508_00010_00002_cd	118509_00010_00003	118509_00010_00003_cd	118510_00400_00001	118510_00400_00001_cd	118511_00400_00002	118511_00400_00002_cd	118513_80154_00003	118513_80154_00003_cd	118514_80155_00003	118514_80155_00003_cd	118515_00011_00001	118515_00011_00001_cd	118516_00011_00002	118516_00011_00002_cd	118517_00011_00003	118517_00011_00003_cd	251571_00010_00003	251571_00010_00003_cd	251572_00010_00001	251572_00010_00001_cd	251573_00010_00002	251573_00010_00002_cd
USGS	01474500	1950-10-19	580	A																																						
USGS	01474500	1950-10-20	555	A																																						
USGS	01474500	1950-10-21	530	A																																						
USGS	01474500	1950-10-22	530	A																																						
USGS	01474500	1950-10-23	1450	A																																						
USGS	01474500	1950-10-24	1980	A																																						
USGS	01474500	1950-10-25	1190	A																																						
USGS	01474500	1950-10-26	838	A																																						
USGS	01474500	1950-10-27	700	A																																						
USGS	01474500	1950-10-28	640	A																																						
USGS	01474500	1950-10-29	580	A																																						
USGS	01474500	1950-10-30	610	A																																						
USGS	01474500	1950-10-31	580	A																																						
USGS	01474500	1950-11-01	530	A																																						
USGS	01474500	1950-11-02	530	A																																						
USGS	01474500	1950-11-03	505	A																																						
USGS	01474500	1950-11-04	729	A																																						
USGS	01474500	1950-11-05	2050	A																																						
USGS	01474500	1950-11-06	3430	A																																						
USGS	01474500	1950-11-07	2460	A																																						
USGS	01474500	1950-11-08	1890	A																																						
USGS	01474500	1950-11-09	1530	A																																						
USGS	01474500	1950-11-10	1400	A																																						
USGS	01474500	1950-11-11	1150	A																																						
USGS	01474500	1950-11-12	1030	A																																						
USGS	01474500	1950-11-13	950	A																																						
USGS	01474500	1950-11-14	874	A																																						
USGS	01474500	1950-11-15	874	A																																						
USGS	01474500	1950-11-16	950	A																																						
USGS	01474500	1950-11-17	802	A																																						
USGS	01474500	1950-11-18	910	A																																						
USGS	01474500	1950-11-19	730	A																																						
USGS	01474500	1950-11-20	700	A																																						
USGS	01474500	1950-11-21	730	A																																						
USGS	01474500	1950-11-22	1280	A																																						
USGS	01474500	1950-11-23	1530	A																																						
USGS	01474500	1950-11-24	950	A																																						
USGS	01474500	1950-11-25	29600	A																																						
USGS	01474500	1950-11-26	59600	A																																						
USGS	01474500	1950-11-27	23000	A																																						
USGS	01474500	1950-11-28	10000	A																																						
USGS	01474500	1950-11-29	7210	A																																						
USGS	01474500	1950-11-30	5560	A																																						
USGS	01474500	1950-12-01	4630	A																																						
USGS	01474500	1950-12-02	3920	A																																						
USGS	01474500	1950-12-03	3380	A																																						
USGS	01474500	1950-12-04	9010	A																																						
USGS	01474500	1950-12-05	33500	A																																						
USGS	01474500	1950-12-06	15200	A																																						
USGS	01474500	1950-12-07	9380	A																																						
USGS	01474500	1950-12-08	18500	A																																						
USGS	01474500	1950-12-09	13600	A																																						
USGS	01474500	1950-12-10	9380	A																																						
USGS	01474500	1950-12-11	7820	A																																						
USGS	01474500	1950-12-12	7150	A																																						
USGS	01474500	1950-12-13	5780	A																																						
USGS	01474500	1950-12-14	4740	A																																						
USGS	01474500	1950-12-15	4020	A																																						
USGS	01474500	1950-12-16	4080	A																																						
USGS	01474500	1950-12-17	3970	A																																						
USGS	01474500	1950-12-18	3220	A																																						
USGS	01474500	1950-12-19	2810	A																																						
USGS	01474500	1950-12-20	2320	A																																						
USGS	01474500	1950-12-21	2270	A																																						
USGS	01474500	1950-12-22	2170	A																																						
USGS	01474500	1950-12-23	2030	A																																						
USGS	01474500	1950-12-24	2030	A																																						
USGS	01474500	1950-12-25	2030	A																																						
USGS	01474500	1950-12-26	1840	A																																						
USGS	01474500	1950-12-27	1190	A																																						
USGS	01474500	1950-12-28	1070	A																																						
USGS	01474500	1950-12-29	1350	A																																						
USGS	01474500	1950-12-30	2170	A																																						
USGS	01474500	1950-12-31	2320	A																																						
USGS	01474500	1951-01-01	1940	A																																						
USGS	01474500	1951-01-02	1570	A																																						
USGS	01474500	1951-01-03	1490	A																																						
USGS	01474500	1951-01-04	1750	A																																						
USGS	01474500	1951-01-05	3130	A																																						
USGS	01474500	1951-01-06	3640	A																																						
USGS	01474500	1951-01-07	3170	A																																						
USGS	01474500	1951-01-08	3330	A																																						
USGS	01474500	1951-01-09	2660	A																																						
USGS	01474500	1951-01-10	2170	A																																						
USGS	01474500	1951-01-11	2080	A																																						
USGS	01474500	1951-01-12	2030	A																																						
USGS	01474500	1951-01-13	1800	A																																						
USGS	01474500	1951-01-14	1800	A																																						
USGS	01474500	1951-01-15	13500	A																																						
USGS	01474500	1951-01-16	9360	A																																						
USGS	01474500	1951-01-17	5680	A																																						
USGS	01474500	1951-01-18	4360	A																																						
USGS	01474500	1951-01-19	3750	A																																						
USGS	01474500	1951-01-20	3430	A																																						
USGS	01474500	1951-01-21	3220	A																																						
USGS	01474500	1951-01-22	3170	A																																						
USGS	01474500	1951-01-23	2660	A																																						
USGS	01474500	1951-01-24	7880	A																																						
USGS	01474500	1951-01-25	11800	A																																						
USGS	01474500	1951-01-26	7690	A																																						
USGS	01474500	1951-01-27	5840	A																																						
USGS	01474500	1951-01-28	4850	A																																						
USGS	01474500	1951-01-29	4580	A																																						
USGS	01474500	1951-01-30	4520	A																																						
USGS	01474500	1951-01-31	3590	A																																						
USGS	01474500	1951-02-01	3990	A																																						
USGS	01474500	1951-02-02	11200	A																																						
USGS	01474500	1951-02-03	7260	A																																						
USGS	01474500	1951-02-04	4850	A																																						
USGS	01474500	1951-02-05	4410	A																																						
USGS	01474500	1951-02-06	3920	A																																						
USGS	01474500	1951-02-07	10100	A																																						
USGS	01474500	1951-02-08	24600	A																																						
USGS	01474500	1951-02-09	8120	A																																						
USGS	01474500	1951-02-10	5700	A																																						
USGS	01474500	1951-02-11	4570	A																																						
USGS	01474500	1951-02-12	4210	A																																						
USGS	01474500	1951-02-13	4630	A																																						
USGS	01474500	1951-02-14	6150	A																																						
USGS	01474500	1951-02-15	5050	A																																						
USGS	01474500	1951-02-16	3950	A																																						
USGS	01474500	1951-02-17	4000	A																																						
USGS	01474500	1951-02-18	7110	A																																						
USGS	01474500	1951-02-19	5540	A																																						
USGS	01474500	1951-02-20	5880	A																																						
USGS	01474500	1951-02-21	9850	A																																						
USGS	01474500	1951-02-22	13400	A																																						
USGS	01474500	1951-02-23	8570	A																																						
USGS	01474500	1951-02-24	6630	A																																						
USGS	01474500	1951-02-25	5540	A																																						
USGS	01474500	1951-02-26	4940	A																																						
USGS	01474500	1951-02-27	4630	A																																						
USGS	01474500	1951-02-28	4210	A																																						
USGS	01474500	1951-03-01	3800	A																																						
USGS	01474500	1951-03-02	3850	A																																						
USGS	01474500	1951-03-03	3700	A																																						
USGS	01474500	1951-03-04	4970	A																																						
USGS	01474500	1951-03-05	6150	A																																						
USGS	01474500	1951-03-06	4940	A																																						
USGS	01474500	1951-03-07	4520	A																																						
USGS	01474500	1951-03-08	4360	A																																						
USGS	01474500	1951-03-09	4050	A																																						
USGS	01474500	1951-03-10	3550	A																																						
USGS	01474500	1951-03-11	3160	A																																						
USGS	01474500	1951-03-12	3010	A																																						
USGS	01474500	1951-03-13	2870	A																																						
USGS	01474500	1951-03-14	3400	A																																						
USGS	01474500	1951-03-15	4420	A																																						
USGS	01474500	1951-03-16	3800	A																																						
USGS	01474500	1951-03-17	3210	A																																						
USGS	01474500	1951-03-18	2870	A																																						
USGS	01474500	1951-03-19	2820	A																																						
USGS	01474500	1951-03-20	7940	A																																						
USGS	01474500	1951-03-21	7740	A																																						
USGS	01474500	1951-03-22	6150	A																																						
USGS	01474500	1951-03-23	5270	A																																						
USGS	01474500	1951-03-24	4630	A																																						
USGS	01474500	1951-03-25	4210	A																																						
USGS	01474500	1951-03-26	3650	A																																						
USGS	01474500	1951-03-27	3210	A																																						
USGS	01474500	1951-03-28	2960	A																																						
USGS	01474500	1951-03-29	3060	A																																						
USGS	01474500	1951-03-30	6300	A																																						
USGS	01474500	1951-03-31	10600	A																																						
USGS	01474500	1951-04-01	6150	A																																						
USGS	01474500	1951-04-02	5270	A																																						
USGS	01474500	1951-04-03	6680	A																																						
USGS	01474500	1951-04-04	5600	A																																						
USGS	01474500	1951-04-05	4360	A																																						
USGS	01474500	1951-04-06	3800	A																																						
USGS	01474500	1951-04-07	3450	A																																						
USGS	01474500	1951-04-08	3160	A																																						
USGS	01474500	1951-04-09	2960	A																																						
USGS	01474500	1951-04-10	2820	A																																						
USGS	01474500	1951-04-11	3160	A																																						
USGS	01474500	1951-04-12	3210	A																																						
USGS	01474500	1951-04-13	9770	A																																						
USGS	01474500	1951-04-14	8250	A																																						
USGS	01474500	1951-04-15	6390	A																																						
USGS	01474500	1951-04-16	5160	A																																						
USGS	01474500	1951-04-17	4680	A																																						
USGS	01474500	1951-04-18	4100	A																																						
USGS	01474500	1951-04-19	3600	A																																						
USGS	01474500	1951-04-20	3400	A																																						
USGS	01474500	1951-04-21	3060	A																																						
USGS	01474500	1951-04-22	2680	A																																						
USGS	01474500	1951-04-23	3110	A																																						
USGS	01474500	1951-04-24	4000	A																																						
USGS	01474500	1951-04-25	3210	A																																						
USGS	01474500	1951-04-26	2870	A																																						
USGS	01474500	1951-04-27	2680	A																																						
USGS	01474500	1951-04-28	2450	A																																						
USGS	01474500	1951-04-29	2360	A																																						
USGS	01474500	1951-04-30	2980	A																																						
USGS	01474500	1951-05-01	3350	A																																						
USGS	01474500	1951-05-02	2680	A																																						
USGS	01474500	1951-05-03	2320	A																																						
USGS	01474500	1951-05-04	2050	A																																						
USGS	01474500	1951-05-05	1960	A																																						
USGS	01474500	1951-05-06	1830	A																																						
USGS	01474500	1951-05-07	1700	A																																						
USGS	01474500	1951-05-08	1620	A																																						
USGS	01474500	1951-05-09	1460	A																																						
USGS	01474500	1951-05-10	1260	A																																						
USGS	01474500	1951-05-11	1560	A																																						
USGS	01474500	1951-05-12	2140	A																																						
USGS	01474500	1951-05-13	1920	A																																						
USGS	01474500	1951-05-14	1460	A																																						
USGS	01474500	1951-05-15	1260	A																																						
USGS	01474500	1951-05-16	1150	A																																						
USGS	01474500	1951-05-17	1080	A																																						
USGS	01474500	1951-05-18	1000	A																																						
USGS	01474500	1951-05-19	1000	A																																						
USGS	01474500	1951-05-20	1040	A																																						
USGS	01474500	1951-05-21	1000	A																																						
USGS	01474500	1951-05-22	1040	A																																						
USGS	01474500	1951-05-23	1170	A																																						
USGS	01474500	1951-05-24	1920	A																																						
USGS	01474500	1951-05-25	1830	A																																						
USGS	01474500	1951-05-26	1220	A																																						
USGS	01474500	1951-05-27	968	A																																						
USGS	01474500	1951-05-28	932	A																																						
USGS	01474500	1951-05-29	1100	A																																						
USGS	01474500	1951-05-30	1750	A																																						
USGS	01474500	1951-05-31	1260	A																																						
USGS	01474500	1951-06-01	968	A																																						
USGS	01474500	1951-06-02	827	A																																						
USGS	01474500	1951-06-03	827	A																																						
USGS	01474500	1951-06-04	1860	A																																						
USGS	01474500	1951-06-05	2000	A																																						
USGS	01474500	1951-06-06	1340	A																																						
USGS	01474500	1951-06-07	1040	A																																						
USGS	01474500	1951-06-08	827	A																																						
USGS	01474500	1951-06-09	793	A																																						
USGS	01474500	1951-06-10	895	A																																						
USGS	01474500	1951-06-11	1190	A																																						
USGS	01474500	1951-06-12	1380	A																																						
USGS	01474500	1951-06-13	1110	A																																						
USGS	01474500	1951-06-14	2210	A																																						
USGS	01474500	1951-06-15	2450	A																																						
USGS	01474500	1951-06-16	1700	A																																						
USGS	01474500	1951-06-17	1300	A																																						
USGS	01474500	1951-06-18	1080	A																																						
USGS	01474500	1951-06-19	1000	A																																						
USGS	01474500	1951-06-20	827	A																																						
USGS	01474500	1951-06-21	827	A																																						
USGS	01474500	1951-06-22	695	A																																						
USGS	01474500	1951-06-23	895	A																																						
USGS	01474500	1951-06-24	1420	A																																						
USGS	01474500	1951-06-25	1700	A																																						
USGS	01474500	1951-06-26	1660	A																																						
USGS	01474500	1951-06-27	1370	A																																						
USGS	01474500	1951-06-28	1080	A																																						
USGS	01474500	1951-06-29	1190	A																																						
USGS	01474500	1951-06-30	3010	A																																						
USGS	01474500	1951-07-01	2580	A																																						
USGS	01474500	1951-07-02	1880	A																																						
USGS	01474500	1951-07-03	1540	A																																						
USGS	01474500	1951-07-04	1220	A																																						
USGS	01474500	1951-07-05	1560	A																																						
USGS	01474500	1951-07-06	2180	A																																						
USGS	01474500	1951-07-07	1420	A																																						
USGS	01474500	1951-07-08	1040	A																																						
USGS	01474500	1951-07-09	861	A																																						
USGS	01474500	1951-07-10	759	A																																						
USGS	01474500	1951-07-11	665	A																																						
USGS	01474500	1951-07-12	635	A																																						
USGS	01474500	1951-07-13	1380	A																																						
USGS	01474500	1951-07-14	1920	A																																						
USGS	01474500	1951-07-15	895	A																																						
USGS	01474500	1951-07-16	695	A																																						
USGS	01474500	1951-07-17	605	A																																						
USGS	01474500	1951-07-18	1140	A																																						
USGS	01474500	1951-07-19	1480	A																																						
USGS	01474500	1951-07-20	3110	A																																						
USGS	01474500	1951-07-21	1840	A																																						
USGS	01474500	1951-07-22	1080	A																																						
USGS	01474500	1951-07-23	895	A																																						
USGS	01474500	1951-07-24	895	A																																						
USGS	01474500	1951-07-25	968	A																																						
USGS	01474500	1951-07-26	793	A																																						
USGS	01474500	1951-07-27	635	A																																						
USGS	01474500	1951-07-28	525	A																																						
USGS	01474500	1951-07-29	3260	A																																						
USGS	01474500	1951-07-30	3210	A																																						
USGS	01474500	1951-07-31	2180	A																																						
USGS	01474500	1951-08-01	1620	A																																						
USGS	01474500	1951-08-02	1300	A																																						
USGS	01474500	1951-08-03	1080	A																																						
USGS	01474500	1951-08-04	932	A																																						
USGS	01474500	1951-08-05	827	A																																						
USGS	01474500	1951-08-06	759	A																																						
USGS	01474500	1951-08-07	695	A																																						
USGS	01474500	1951-08-08	635	A																																						
USGS	01474500	1951-08-09	665	A																																						
USGS	01474500	1951-08-10	695	A																																						
USGS	01474500	1951-08-11	1140	A																																						
USGS	01474500	1951-08-12	1370	A																																						
USGS	01474500	1951-08-13	1290	A																																						
USGS	01474500	1951-08-14	2330	A																																						
USGS	01474500	1951-08-15	1340	A																																						
USGS	01474500	1951-08-16	1040	A																																						
USGS	01474500	1951-08-17	1040	A																																						
USGS	01474500	1951-08-18	1420	A																																						
USGS	01474500	1951-08-19	1110	A																																						
USGS	01474500	1951-08-20	1040	A																																						
USGS	01474500	1951-08-21	1190	A																																						
USGS	01474500	1951-08-22	932	A																																						
USGS	01474500	1951-08-23	759	A																																						
USGS	01474500	1951-08-24	665	A																																						
USGS	01474500	1951-08-25	605	A																																						
USGS	01474500	1951-08-26	550	A																																						
USGS	01474500	1951-08-27	525	A																																						
USGS	01474500	1951-08-28	475	A																																						
USGS	01474500	1951-08-29	450	A																																						
USGS	01474500	1951-08-30	429	A																																						
USGS	01474500	1951-08-31	387	A																																						
USGS	01474500	1951-09-01	366	A																																						
USGS	01474500	1951-09-02	350	A																																						
USGS	01474500	1951-09-03	1340	A																																						
USGS	01474500	1951-09-04	1480	A																																						
USGS	01474500	1951-09-05	793	A																																						
USGS	01474500	1951-09-06	575	A																																						
USGS	01474500	1951-09-07	605	A																																						
USGS	01474500	1951-09-08	827	A																																						
USGS	01474500	1951-09-09	827	A																																						
USGS	01474500	1951-09-10	550	A																																						
USGS	01474500	1951-09-11	475	A																																						
USGS	01474500	1951-09-12	429	A																																						
USGS	01474500	1951-09-13	450	A																																						
USGS	01474500	1951-09-14	429	A																																						
USGS	01474500	1951-09-15	802	A																																						
USGS	01474500	1951-09-16	1380	A																																						
USGS	01474500	1951-09-17	895	A																																						
USGS	01474500	1951-09-18	635	A																																						
USGS	01474500	1951-09-19	525	A																																						
USGS	01474500	1951-09-20	475	A																																						
USGS	01474500	1951-09-21	429	A																																						
USGS	01474500	1951-09-22	387	A																																						
USGS	01474500	1951-09-23	387	A																																						
USGS	01474500	1951-09-24	328	A																																						
USGS	01474500	1951-09-25	366	A																																						
USGS	01474500	1951-09-26	345	A																																						
USGS	01474500	1951-09-27	311	A																																						
USGS	01474500	1951-09-28	345	A																																						
USGS	01474500	1951-09-29	311	A																																						
USGS	01474500	1951-09-30	408	A																																						
USGS	01474500	1951-10-01	345	A																																						
USGS	01474500	1951-10-02	328	A																																						
USGS	01474500	1951-10-03	311	A																																						
USGS	01474500	1951-10-04	277	A																																						
USGS	01474500	1951-10-05	294	A																																						
USGS	01474500	1951-10-06	277	A																																						
USGS	01474500	1951-10-07	336	A																																						
USGS	01474500	1951-10-08	934	A																																						
USGS	01474500	1951-10-09	1540	A																																						
USGS	01474500	1951-10-10	827	A																																						
USGS	01474500	1951-10-11	793	A																																						
USGS	01474500	1951-10-12	793	A																																						
USGS	01474500	1951-10-13	793	A																																						
USGS	01474500	1951-10-14	605	A																																						
USGS	01474500	1951-10-15	500	A																																						
USGS	01474500	1951-10-16	475	A																																						
USGS	01474500	1951-10-17	429	A																																						
USGS	01474500	1951-10-18	408	A																																						
USGS	01474500	1951-10-19	429	A																																						
USGS	01474500	1951-10-20	387	A																																						
USGS	01474500	1951-10-21	366	A																																						
USGS	01474500	1951-10-22	366	A																																						
USGS	01474500	1951-10-23	366	A																																						
USGS	01474500	1951-10-24	454	A																																						
USGS	01474500	1951-10-25	695	A																																						
USGS	01474500	1951-10-26	793	A																																						
USGS	01474500	1951-10-27	759	A																																						
USGS	01474500	1951-10-28	575	A																																						
USGS	01474500	1951-10-29	575	A																																						
USGS	01474500	1951-10-30	793	A																																						
USGS	01474500	1951-10-31	635	A																																						
USGS	01474500	1951-11-01	2830	A																																						
USGS	01474500	1951-11-02	4740	A																																						
USGS	01474500	1951-11-03	9450	A																																						
USGS	01474500	1951-11-04	11100	A																																						
USGS	01474500	1951-11-05	6330	A																																						
USGS	01474500	1951-11-06	4260	A																																						
USGS	01474500	1951-11-07	16200	A																																						
USGS	01474500	1951-11-08	19600	A																																						
USGS	01474500	1951-11-09	9520	A																																						
USGS	01474500	1951-11-10	6150	A																																						
USGS	01474500	1951-11-11	4680	A																																						
USGS	01474500	1951-11-12	3800	A																																						
USGS	01474500	1951-11-13	3160	A																																						
USGS	01474500	1951-11-14	2870	A																																						
USGS	01474500	1951-11-15	3350	A																																						
USGS	01474500	1951-11-16	3450	A																																						
USGS	01474500	1951-11-17	3950	A																																						
USGS	01474500	1951-11-18	3900	A																																						
