# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-08-10 09:43:49 EDT       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01482800 Delaware River at Reedy Island Jetty, DE
# -----------------------------------------------------------------------------------
#
# Data provided for site 01482800
#            TS   parameter     statistic     Description
#        118703       00095     00001     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Maximum)
#        118704       00095     00002     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Minimum)
#        118705       00095     00003     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Mean)
#        118706       00400     00001     pH, water, unfiltered, field, standard units (Maximum)
#        118707       00400     00002     pH, water, unfiltered, field, standard units (Minimum)
#        118708       00400     00003     pH, water, unfiltered, field, standard units (Mean)
#        118709       00400     00008     pH, water, unfiltered, field, standard units (Median)
#        118710       00010     00001     Temperature, water, degrees Celsius (Maximum)
#        118711       00010     00002     Temperature, water, degrees Celsius (Minimum)
#        118712       00010     00003     Temperature, water, degrees Celsius (Mean)
#        118713       00300     00001     Dissolved oxygen, water, unfiltered, milligrams per liter (Maximum)
#        118714       00300     00002     Dissolved oxygen, water, unfiltered, milligrams per liter (Minimum)
#        118715       00300     00003     Dissolved oxygen, water, unfiltered, milligrams per liter (Mean)
#        214299       63680     00001     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Maximum)
#        214300       63680     00003     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Mean)
#        214301       63680     00002     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Minimum)
#
# Data-value qualification codes included in this output:
#   ***  Value unavailable.
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	118703_00095_00001	118703_00095_00001_cd	118704_00095_00002	118704_00095_00002_cd	118705_00095_00003	118705_00095_00003_cd	118706_00400_00001	118706_00400_00001_cd	118707_00400_00002	118707_00400_00002_cd	118708_00400_00003	118708_00400_00003_cd	118709_00400_00008	118709_00400_00008_cd	118710_00010_00001	118710_00010_00001_cd	118711_00010_00002	118711_00010_00002_cd	118712_00010_00003	118712_00010_00003_cd	118713_00300_00001	118713_00300_00001_cd	118714_00300_00002	118714_00300_00002_cd	118715_00300_00003	118715_00300_00003_cd	214299_63680_00001	214299_63680_00001_cd	214300_63680_00003	214300_63680_00003_cd	214301_63680_00002	214301_63680_00002_cd
USGS	01482800	1963-12-02	19700	A	11300	A																												
USGS	01482800	1963-12-03	19700	A	11000	A																												
USGS	01482800	1963-12-04	18400	A	10200	A																												
USGS	01482800	1963-12-05	17100	A	10200	A																												
USGS	01482800	1963-12-06	17400	A	10700	A																												
USGS	01482800	1963-12-07	18000	A	10700	A																												
USGS	01482800	1963-12-08	19300	A	11000	A																												
USGS	01482800	1963-12-09	16500	A	11000	A																												
USGS	01482800	1963-12-10	15000	A	8990	A																												
USGS	01482800	1963-12-11	14800	A	7500	A																												
USGS	01482800	1963-12-12	16800	A	8000	A																												
USGS	01482800	1963-12-13	17700	A	8050	A																												
USGS	01482800	1963-12-14	17700	A	8500	A																												
USGS	01482800	1963-12-15	15100	A	6450	A																												
USGS	01482800	1963-12-16	15000	A	6150	A																												
USGS	01482800	1963-12-17	16100	A	6900	A																												
USGS	01482800	1963-12-18	19000	A	8200	A																												
USGS	01482800	1963-12-19	17300	A	7950	A																												
USGS	01482800	1963-12-20	18700	A	7700	A																												
USGS	01482800	1963-12-21	16200	A	7400	A																												
USGS	01482800	1963-12-22	21200	A	5900	A																												
USGS	01482800	1963-12-23	21100	A	10300	A																												
USGS	01482800	1963-12-24	21900	A	12800	A																												
USGS	01482800	1963-12-25	20700	A	12300	A																												
USGS	01482800	1963-12-26	20500	A	11300	A																												
USGS	01482800	1963-12-27	21700	A	11400	A																												
USGS	01482800	1963-12-28	22200	A	12300	A																												
USGS	01482800	1963-12-29	21400	A	12500	A																												
USGS	01482800	1963-12-30	18600	A	11900	A																												
USGS	01482800	1963-12-31	19000	A	12000	A																												
USGS	01482800	1964-01-01	21900	A	12500	A																												
USGS	01482800	1964-01-02	18600	A	11700	A																												
USGS	01482800	1964-01-03	17700	A	11500	A																												
USGS	01482800	1964-01-04	18800	A	11200	A																												
USGS	01482800	1964-01-05	18000	A	12400	A																												
USGS	01482800	1964-01-06	18800	A	11000	A																												
USGS	01482800	1964-01-07	18500	A	11700	A																												
USGS	01482800	1964-01-08	18400	A	11200	A																												
USGS	01482800	1964-01-09	19500	A	11900	A																												
USGS	01482800	1964-01-10	16200	A	11800	A																												
USGS	01482800	1964-01-11	11900	A	4850	A																												
USGS	01482800	1964-01-12	14200	A	6000	A																												
USGS	01482800	1964-01-13	16000	A	8700	A																												
USGS	01482800	1964-01-14	17100	A	7100	A																												
USGS	01482800	1964-01-15	20300	A	8800	A																												
USGS	01482800	1964-01-16	18500	A	8900	A																												
USGS	01482800	1964-01-17	17800	A	8200	A																												
USGS	01482800	1964-01-18	19200	A	9100	A																												
USGS	01482800	1964-01-19	17500	A	8800	A																												
USGS	01482800	1964-01-20	16400	A	10100	A																												
USGS	01482800	1964-01-21	15400	A	7600	A																												
USGS	01482800	1964-01-22	15200	A	6600	A																												
USGS	01482800	1964-01-23	15800	A	6300	A																												
USGS	01482800	1964-01-24	15700	A	5900	A																												
USGS	01482800	1964-01-25	16800	A	6150	A																												
USGS	01482800	1964-01-26	13000	A	3500	A																												
USGS	01482800	1964-01-27	7500	A	1500	A																												
USGS	01482800	1964-01-28	4950	A	800	A																												
USGS	01482800	1964-01-29	5000	A	700	A																												
USGS	01482800	1964-01-30	5400	A	800	A																												
USGS	01482800	1964-01-31	6100	A	900	A																												
USGS	01482800	1964-02-01	6200	A	1000	A																												
USGS	01482800	1964-02-02	4300	A	900	A																												
USGS	01482800	1964-02-03	4750	A	750	A																												
USGS	01482800	1964-02-04	6800	A	850	A																												
USGS	01482800	1964-02-05	8800	A	1500	A																												
USGS	01482800	1964-02-06	14000	A	1950	A																												
USGS	01482800	1964-02-07	11800	A	3000	A																												
USGS	01482800	1964-02-08	8800	A	3050	A																												
USGS	01482800	1964-02-09	8800	A	1600	A																												
USGS	01482800	1964-02-10	9500	A	1900	A																												
USGS	01482800	1964-02-11	9500	A	3550	A																												
USGS	01482800	1964-02-12	12700	A	4650	A																												
USGS	01482800	1964-02-13	15000	A	4600	A																												
USGS	01482800	1964-02-14	12200	A	4700	A																												
USGS	01482800	1964-02-15	12600	A	4050	A																												
USGS	01482800	1964-02-16	14400	A	3800	A																												
USGS	01482800	1964-02-17	8800	A	3500	A																												
USGS	01482800	1964-02-18	12000	A	4300	A																												
USGS	01482800	1964-02-19	17800	A	4800	A																												
USGS	01482800	1964-02-20	12200	A	5000	A																												
USGS	01482800	1964-02-21	10300	A	3700	A																												
USGS	01482800	1964-02-22	12800	A	3550	A																												
USGS	01482800	1964-02-23	13200	A	3550	A																												
USGS	01482800	1964-02-24	14300	A	4250	A																												
USGS	01482800	1964-02-25	13900	A	4200	A																												
USGS	01482800	1964-02-26	14900	A	4300	A																												
USGS	01482800	1964-02-27	12600	A	4900	A																												
USGS	01482800	1964-02-28	13600	A	5450	A																												
USGS	01482800	1964-02-29	13000	A	5200	A																												
USGS	01482800	1964-03-01	14500	A	5450	A																												
USGS	01482800	1964-03-02	11000	A	5100	A																												
USGS	01482800	1964-03-03	12700	A	5700	A																												
USGS	01482800	1964-03-04	12700	A	5700	A																												
USGS	01482800	1964-03-05	12600	A	7000	A																												
USGS	01482800	1964-03-06	7600	A	3350	A																												
USGS	01482800	1964-03-07	9100	A	2300	A																												
USGS	01482800	1964-03-08	8050	A	1600	A																												
USGS	01482800	1964-03-09	8400	A	1450	A																												
USGS	01482800	1964-03-10	8050	A	1600	A																												
USGS	01482800	1964-03-11	6750	A	900	A																												
USGS	01482800	1964-03-12	8600	A	900	A																												
USGS	01482800	1964-03-13	3600	A	500	A																												
USGS	01482800	1964-03-14	2300	A	500	A																												
USGS	01482800	1964-03-15	1400	A	450	A																												
USGS	01482800	1964-03-16	750	A	370	A																												
USGS	01482800	1964-03-17	1150	A	370	A																												
USGS	01482800	1964-03-18	1000	A	300	A																												
USGS	01482800	1964-03-19	2450	A	300	A																												
USGS	01482800	1964-03-20	4050	A	360	A																												
USGS	01482800	1964-03-21	7800	A	1250	A																												
USGS	01482800	1964-03-22	8800	A	1950	A																												
USGS	01482800	1964-03-23	9400	A	1500	A																												
USGS	01482800	1964-03-24	8700	A	1600	A																												
USGS	01482800	1964-03-25	7800	A	1600	A																												
USGS	01482800	1964-03-26	8100	A	1650	A																												
USGS	01482800	1964-03-27	5500	A	1150	A																												
USGS	01482800	1964-03-28	5450	A	1100	A																												
USGS	01482800	1964-03-29	4700	A	1050	A																												
USGS	01482800	1964-03-30	4300	A	1050	A																												
USGS	01482800	1964-03-31	4400	A	900	A																												
USGS	01482800	1964-04-01	6580	A	1000	A																												
USGS	01482800	1964-04-02	5200	A	1200	A																												
USGS	01482800	1964-04-03	5500	A	1360	A																												
USGS	01482800	1964-04-04	4400	A	800	A																												
USGS	01482800	1964-04-05	5900	A	1200	A																												
USGS	01482800	1964-04-06	7290	A	2300	A																												
USGS	01482800	1964-04-07	6900	A	2000	A																												
USGS	01482800	1964-04-08	7000	A	1750	A																												
USGS	01482800	1964-04-09	5200	A	800	A																												
USGS	01482800	1964-04-10	6400	A	820	A																												
USGS	01482800	1964-04-11	6300	A	810	A																												
USGS	01482800	1964-04-12	4510	A	900	A																												
USGS	01482800	1964-04-13	5310	A	910	A																												
USGS	01482800	1964-04-14	5610	A	1000	A																												
USGS	01482800	1964-04-15	5000	A	1000	A																												
USGS	01482800	1964-04-16	4310	A	790	A																												
USGS	01482800	1964-04-17	3180	A	750	A																												
USGS	01482800	1964-04-18	2140	A	670	A																												
USGS	01482800	1964-04-19	3270	A	690	A																												
USGS	01482800	1964-04-20	3100	A	670	A																												
USGS	01482800	1964-04-21	2900	A	650	A																												
USGS	01482800	1964-04-22	2220	A	470	A																												
USGS	01482800	1964-04-23	1870	A	480	A																												
USGS	01482800	1964-04-24	1320	A	450	A																												
USGS	01482800	1964-04-25	2470	A	420	A																												
USGS	01482800	1964-04-26	1320	A	410	A																												
USGS	01482800	1964-04-27	1070	A	400	A																												
USGS	01482800	1964-04-28	1400	A	400	A																												
USGS	01482800	1964-04-29	1400	A	450	A																												
USGS	01482800	1964-04-30																																
USGS	01482800	1964-05-01																																
USGS	01482800	1964-05-02																																
USGS	01482800	1964-05-03																																
USGS	01482800	1964-05-04																																
USGS	01482800	1964-05-05																																
USGS	01482800	1964-05-06	3940	A	350	A																												
USGS	01482800	1964-05-07	4600	A	400	A																												
USGS	01482800	1964-05-08	5600	A	450	A																												
USGS	01482800	1964-05-09	6100	A	550	A																												
USGS	01482800	1964-05-10	6000	A	750	A																												
USGS	01482800	1964-05-11	5600	A	950	A																												
USGS	01482800	1964-05-12	6400	A	1050	A																												
USGS	01482800	1964-05-13	7100	A	1200	A																												
USGS	01482800	1964-05-14	7150	A	1400	A																												
USGS	01482800	1964-05-15	6600	A	1500	A																												
USGS	01482800	1964-05-16	6700	A	1550	A																												
USGS	01482800	1964-05-17	5550	A	1280	A																												
USGS	01482800	1964-05-18	5400	A	1500	A																												
USGS	01482800	1964-05-19	5900	A	1520	A																												
USGS	01482800	1964-05-20	4100	A	1380	A																												
USGS	01482800	1964-05-21	6300	A	1300	A																												
USGS	01482800	1964-05-22	5700	A	1650	A																												
USGS	01482800	1964-05-23	6400	A	1400	A																												
USGS	01482800	1964-05-24	8020	A	1480	A																												
USGS	01482800	1964-05-25	7550	A	1900	A																												
USGS	01482800	1964-05-26	6300	A	1750	A																												
USGS	01482800	1964-05-27	8800	A	2300	A																												
USGS	01482800	1964-05-28	8300	A	2150	A																												
USGS	01482800	1964-05-29	9250	A	2580	A																												
USGS	01482800	1964-05-30	10200	A	3100	A																												
USGS	01482800	1964-05-31	10900	A	3450	A																												
USGS	01482800	1964-06-01	10400	A	3700	A																												
USGS	01482800	1964-06-02	11200	A	4300	A																												
USGS	01482800	1964-06-03	11700	A	4450	A																												
USGS	01482800	1964-06-04	10900	A	4400	A																												
USGS	01482800	1964-06-05	12500	A	4250	A																												
USGS	01482800	1964-06-06	12000	A	4800	A																												
USGS	01482800	1964-06-07	12500	A	4900	A																												
USGS	01482800	1964-06-08	13200	A	4800	A																												
USGS	01482800	1964-06-09	10500	A	4900	A																												
USGS	01482800	1964-06-10	13600	A	5100	A																												
USGS	01482800	1964-06-11	12000	A	4900	A																												
USGS	01482800	1964-06-12	12300	A	5000	A																												
USGS	01482800	1964-06-13	12300	A	5100	A																												
USGS	01482800	1964-06-14	11600	A	5500	A																												
USGS	01482800	1964-06-15																																
USGS	01482800	1964-06-16																																
USGS	01482800	1964-06-17																																
USGS	01482800	1964-06-18																																
USGS	01482800	1964-06-19																																
USGS	01482800	1964-06-20																																
USGS	01482800	1964-06-21																																
USGS	01482800	1964-06-22																																
USGS	01482800	1964-06-23																																
USGS	01482800	1964-06-24																																
USGS	01482800	1964-06-25																																
USGS	01482800	1964-06-26																																
USGS	01482800	1964-06-27																																
USGS	01482800	1964-06-28																																
USGS	01482800	1964-06-29																																
USGS	01482800	1964-06-30																																
USGS	01482800	1964-07-01																																
USGS	01482800	1964-07-02	14200	A	7550	A																												
USGS	01482800	1964-07-03	14000	A	7700	A																												
USGS	01482800	1964-07-04	14500	A	7600	A																												
USGS	01482800	1964-07-05	15200	A	7700	A																												
USGS	01482800	1964-07-06	15800	A	7900	A																												
USGS	01482800	1964-07-07	17800	A	8400	A																												
USGS	01482800	1964-07-08	19700	A	9200	A																												
USGS	01482800	1964-07-09	13400	A	8400	A																												
USGS	01482800	1964-07-10	15800	A	8300	A																												
USGS	01482800	1964-07-11	16400	A	8300	A																												
USGS	01482800	1964-07-12	16000	A	8400	A																												
USGS	01482800	1964-07-13	16600	A	8900	A																												
USGS	01482800	1964-07-14	14500	A	8100	A																												
USGS	01482800	1964-07-15	14000	A	8000	A																												
USGS	01482800	1964-07-16	13400	A	7600	A																												
USGS	01482800	1964-07-17	14100	A	8100	A																												
USGS	01482800	1964-07-18	15000	A	8600	A																												
USGS	01482800	1964-07-19	14500	A	6200	A																												
USGS	01482800	1964-07-20	16000	A	6900	A																												
USGS	01482800	1964-07-21	16300	A	8100	A																												
USGS	01482800	1964-07-22	15500	A	7900	A																												
USGS	01482800	1964-07-23	15400	A	7900	A																												
USGS	01482800	1964-07-24	11800	A	8800	A																												
USGS	01482800	1964-07-25	15800	A	10400	A																												
USGS	01482800	1964-07-26	17800	A	10200	A																												
USGS	01482800	1964-07-27	15800	A	8800	A																												
USGS	01482800	1964-07-28	15000	A	9100	A																												
USGS	01482800	1964-07-29	16100	A	9900	A																												
USGS	01482800	1964-07-30	15600	A	9600	A																												
USGS	01482800	1964-07-31	17100	A	9600	A																												
USGS	01482800	1964-08-01	16600	A	9900	A																												
USGS	01482800	1964-08-02	16000	A	9800	A																												
USGS	01482800	1964-08-03	18200	A	9900	A																												
USGS	01482800	1964-08-04	18600	A	10600	A																												
USGS	01482800	1964-08-05	18500	A	11000	A																												
USGS	01482800	1964-08-06	17900	A	10400	A																												
USGS	01482800	1964-08-07	18500	A	10800	A																												
USGS	01482800	1964-08-08	15500	A	10800	A																												
USGS	01482800	1964-08-09	17000	A	10500	A																												
USGS	01482800	1964-08-10	17500	A	10800	A																												
USGS	01482800	1964-08-11	16800	A	11000	A																												
USGS	01482800	1964-08-12	17500	A	11800	A																												
USGS	01482800	1964-08-13	17300	A	11000	A																												
USGS	01482800	1964-08-14	18000	A	11300	A																												
USGS	01482800	1964-08-15	19000	A	11500	A																												
USGS	01482800	1964-08-16	19000	A	11000	A																												
USGS	01482800	1964-08-17	19000	A	11000	A																												
USGS	01482800	1964-08-18	19500	A	11700	A																												
USGS	01482800	1964-08-19	20000	A	11300	A																												
USGS	01482800	1964-08-20	19500	A	11300	A																												
USGS	01482800	1964-08-21	19500	A	11700	A																												
USGS	01482800	1964-08-22	18500	A	12000	A																												
USGS	01482800	1964-08-23	17000	A	11500	A																												
USGS	01482800	1964-08-24	16500	A	11000	A																												
USGS	01482800	1964-08-25	19000	A	12000	A																												
USGS	01482800	1964-08-26	19000	A	12000	A																												
USGS	01482800	1964-08-27	18200	A	12000	A																												
USGS	01482800	1964-08-28	18000	A	12300	A																												
USGS	01482800	1964-08-29	18000	A	12500	A																												
USGS	01482800	1964-08-30	17500	A	12600	A																												
USGS	01482800	1964-08-31	18500	A	12500	A																												
USGS	01482800	1964-09-01	18500	A	12700	A																												
USGS	01482800	1964-09-02	19800	A	12800	A																												
USGS	01482800	1964-09-03	19000	A	12900	A																												
USGS	01482800	1964-09-04	18000	A	12800	A																												
USGS	01482800	1964-09-05	17800	A	12800	A																												
USGS	01482800	1964-09-06	18000	A	12700	A																												
USGS	01482800	1964-09-07	18200	A	13300	A																												
USGS	01482800	1964-09-08	18000	A	13000	A																												
USGS	01482800	1964-09-09	19000	A	13000	A																												
USGS	01482800	1964-09-10	18900	A	13800	A																												
USGS	01482800	1964-09-11	19500	A	14600	A																												
USGS	01482800	1964-09-12	19000	A	13600	A																												
USGS	01482800	1964-09-13	21000	A	15000	A																												
USGS	01482800	1964-09-14	23000	A	15000	A																												
USGS	01482800	1964-09-15	22000	A	15000	A																												
USGS	01482800	1964-09-16	22000	A	14800	A																												
USGS	01482800	1964-09-17	22000	A	15700	A																												
USGS	01482800	1964-09-18	22500	A	15000	A																												
USGS	01482800	1964-09-19	22000	A	15300	A																												
USGS	01482800	1964-09-20	22500	A	16000	A																												
USGS	01482800	1964-09-21	22000	A	16000	A																												
USGS	01482800	1964-09-22	22000	A	16000	A																												
USGS	01482800	1964-09-23	23000	A	16500	A																												
USGS	01482800	1964-09-24	22000	A	16500	A																												
USGS	01482800	1964-09-25	19500	A	16000	A																												
USGS	01482800	1964-09-26	21000	A	15500	A																												
USGS	01482800	1964-09-27	20000	A	15800	A																												
USGS	01482800	1964-09-28	19000	A	15000	A																												
USGS	01482800	1964-09-29	20000	A	15000	A																												
USGS	01482800	1964-09-30	19500	A	14000	A																												
USGS	01482800	1964-10-01	19400	A	14500	A	16500	A																										
USGS	01482800	1964-10-02	19700	A	15000	A	17200	A																										
USGS	01482800	1964-10-03	19800	A	14200	A	16400	A																										
USGS	01482800	1964-10-04	17800	A	14200	A	16000	A																										
USGS	01482800	1964-10-05	17400	A	13900	A	15600	A																										
USGS	01482800	1964-10-06	17800	A	14400	A	15900	A																										
USGS	01482800	1964-10-07	17500	A	14400	A	15800	A																										
USGS	01482800	1964-10-08	18400	A	14700	A	16600	A																										
USGS	01482800	1964-10-09	18400	A	14800	A	16400	A																										
USGS	01482800	1964-10-10	17300	A	13500	A	15600	A																										
USGS	01482800	1964-10-11	17500	A	13500	A	14900	A																										
USGS	01482800	1964-10-12	21500	A	13800	A	17600	A																										
USGS	01482800	1964-10-13	20900	A	15000	A	17300	A																										
USGS	01482800	1964-10-14	22100	A	14900	A	18000	A																										
USGS	01482800	1964-10-15	22100	A	15900	A	18500	A																										
USGS	01482800	1964-10-16	23000	A	15800	A	18600	A																										
USGS	01482800	1964-10-17	22600	A	18000	A	20100	A																										
USGS	01482800	1964-10-18	22400	A	16800	A	19700	A																										
USGS	01482800	1964-10-19	20600	A	16500	A	18800	A																										
USGS	01482800	1964-10-20	20600	A	16400	A	18400	A																										
USGS	01482800	1964-10-21	21700	A	16800	A	19000	A																										
USGS	01482800	1964-10-22	19900	A	15800	A	17800	A																										
USGS	01482800	1964-10-23	20400	A	15700	A	17800	A																										
USGS	01482800	1964-10-24	20000	A	15600	A	17600	A																										
USGS	01482800	1964-10-25	19600	A	15500	A	17400	A																										
USGS	01482800	1964-10-26	19300	A	14900	A	16900	A																										
USGS	01482800	1964-10-27	19600	A	15300	A	17000	A																										
USGS	01482800	1964-10-28	19300	A	15000	A	16900	A																										
USGS	01482800	1964-10-29	19200	A	15300	A	17000	A																										
USGS	01482800	1964-10-30	18900	A	15500	A	17100	A																										
USGS	01482800	1964-10-31	18400	A	15200	A	16800	A																										
USGS	01482800	1964-11-01	18300	A	15000	A	16500	A																										
USGS	01482800	1964-11-02	18300	A	15200	A	16600	A																										
USGS	01482800	1964-11-03	19100	A	15600	A	17200	A																										
USGS	01482800	1964-11-04	18700	A	15600	A	17300	A																										
USGS	01482800	1964-11-05	20400	A	15800	A	17800	A																										
USGS	01482800	1964-11-06	20000	A	15900	A	17800	A																										
